CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Descricao_Bem_Ativo;Pais;UF;Municipio;Tipo_Propriedade
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Brasil;RS;Rio Grande;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Brasil;MA;Itapecuru Mirim;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Brasil;SC;Navegantes;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Brasil;RJ;São Gonçalo;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Brasil;RJ;Rio de Janeiro;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Brasil;MG;Montes Claros;Alugada
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terrenos;Chile;;Bom Jesus de Goiás;Alugada
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Chile;;Bom Jesus de Goiás;Alugada
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Chile;;São Benedito;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Chile;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terrenos;Chile;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Chile;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terrenos;Chile;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Chile;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terrenos;Peru;;;Própria
