CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;h;Resultado Básico por Ação;0.02400000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2019-04-01;2020-03-31;i;Resultado Diluído por Ação;0.02400000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;a;Patrimônio Líquido;6909313000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;b;Ativo Total;43529876000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;32090805000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;d;Resultado Bruto;3670615000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;e;Resultado Líquido;593948000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;f;Número de Ações, Ex-Tesouraria;7376625656.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;g;Valor Patrimonial da Ação (Reais Unidade);0.93700000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;h;Resultado Básico por Ação;0.08500000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2020-04-01;2021-03-31;i;Resultado Diluído por Ação;0.09000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;a;Patrimônio Líquido;13595854000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;b;Ativo Total;58575598000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;50371140000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;d;Resultado Bruto;4530188000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;e;Resultado Líquido;1158036000.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;f;Número de Ações, Ex-Tesouraria;13120614595.00000000;Consolidado;Real;Unidade
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;2021-04-01;2022-03-31;g;Valor Patrimonial da Ação (Reais Unidade);1.03600000;Consolidado;Real;Unidade
