CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746440;2022-03-31;-3.84743100;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746440;2021-03-31;-0.99629000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746440;2020-03-31;1297.74274200;0.00000000;43042037.78
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746441;2023-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746441;2022-03-31;-2.37149500;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746441;2021-03-31;4.66501300;0.00000000;14674607.79
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746441;2020-03-31;-16.23652800;0.00000000;56885207.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742567;2023-03-31;0.00000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742567;2022-03-31;197.64265500;0.00000000;8800000.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742567;2021-03-31;2544574.06000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742567;2020-03-31;0.00000000;0.00000000;250000.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742568;2023-03-31;0.00000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742568;2022-03-31;-16.41604600;0.00000000;66076031.05
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742568;2021-03-31;3.00000000;0.00000000;42506167.03
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742568;2020-03-31;-5.60623900;0.00000000;50934823.28
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742569;2023-03-31;0.00000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742569;2022-03-31;25.69597100;0.00000000;7400000.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742569;2021-03-31;-29.00615500;0.00000000;19300000.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742569;2020-03-31;47.24540200;0.00000000;20000000.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742570;2023-03-31;0.00000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742570;2022-03-31;13.17680600;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742570;2021-03-31;-2.41530500;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742570;2020-03-31;0.00000000;0.00000000;0.00
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;742571;2023-03-31;0.00000000;0.00000000;0.00
